Treatment,Species,Veg_biomass,Root_Biomass,Inflor_biomass
MD,glaberrima,0.0061,0.02689,0
MD,glabrata,0.0501,0.09088,0
MD,fremontii,,,
MD,minor,0.0221,0.02843,9.598
MD,debilis,0.0208,0.03314,10.62
MD,fremontii,0.0215,0.03438,11.822
MD,gracilis,0.0193,0.01892,5.976
MD,glaberrima,0.0374,0.05674,3.201
MD,debilis,0.0284,0.01898,14.936
MD,chrysantha,0.0327,0.02285,15.145
MD,burkei,,,
MD,microglossa,,,
MD,coulteri,0.033,0.01934,16.829
MD,minor,0.0262,0.04468,10.007
MD,burkei,,,
MD,gracilis,,,
MD,platycarpha,,,
MD,microglossa,0.0151,0.02619,10.921
MD,californica,,,
MD,chrysantha,0.0565,0.0372,23.485
MD,californica,0.0291,0.04184,8.922
MD,ferrisiae,0.0208,0.017771,5.957
MD,conjugens,0.0165,0.03105,0
MF,gracilis,0.0512,0.03229,12.216
MF,microglossa,0.0368,0.02105,21.003
MF,ferrisiae,0.0458,0.01953,17.889
MF,platycarpha,0.0256,0.02365,16.189
MF,californica,0.0111,0.01093,10.732
MF,minor,,,
MF,conjugens,,,
MF,debilis,0.027,0.01167,10.516
MF,chrysantha,0.0454,0.03744,25.119
MF,glaberrima,0.0095,0.02137,0
MF,microglossa,0.003121,,0
MF,glabrata,0.0713,0.03452,0
MF,burkei,0.0484,0.04529,3.69
MF,glaberrima,0.0488,0.05034,0
MF,gracilis,0.0292,0.02839,5.245
MF,debilis,0.0403,0.02315,16.284
MF,conjugens,0.0391,0.02956,5.132
MF,minor,0.04,0.01315,0
MF,ferrisiae,0.0359,0.0155,0
MF,burkei,0.0162,0.01816,0
MF,fremontii,0.04,0.035563,10.115
MF,fremontii,0.0357,0.01556,8.285
MF,californica,0.0476,0.02764,0
MF,chrysantha,,,
MF,coulteri,0.0948,0.04978,17.997
MF,platycarpha,0.0442,0.02931,11.81
D,fremontii,0.0221,0.02239,8.994
D,californica,0.0185,0.0234,0
D,platycarpha,0.0173,0.0188,10.591
D,debilis,0.0193,0.0087,10.478
D,glaberrima,0.0072,0.00994,0
D,californica,,,
D,conjugens,0.0137,0.00961,0
D,minor,0.0272,0.01634,0
D,burkei,,,
D,microglossa,,,
D,minor,0.0288,0.01103,12.319
D,burkei,0.0204,0.01421,0
D,platycarpha,0.0266,0.00755,10.116
