"debilis" "burkei" "fremontii" "ferrisiae" "glaberrima" "chrysantha" "californica" "coulteri" "conjugens" "gracilis" "microglossa" "platycarpha" "glabrata" "minor"
"15" 2.8830681640164 2.75695654365436 3.42469315931593 2.92873088208821 3.14015755675568 2.87029525652565 2.69397648964897 2.59276317131713 3.3558382970297 2.96084384578458 3.69457846984698 2.81895795679568 2.61802614961496 2.428247869987
"16" 3.20239171917192 3.16673068686869 3.59832129212921 2.70111933183318 3.18133760846085 2.63457802580258 2.7606602130213 2.63613714371437 3.41433514411441 3.20791755475548 2.15502395539554 2.53775439313931 2.94223519661966 2.22781388118812
"17" 2.72718954345435 2.77880505580558 3.31849876807681 2.70950650775078 3.05837111111111 2.62421425442544 2.30503941894189 2.23238031453145 2.70222894649465 3.23892313721372 1.9033604390439 2.53727086969697 2.74512380138014 2.5112499159916
"18" 3.04560706770677 2.98014355805581 3.34088364536454 2.84275946994699 3.18680355755576 2.72452254725473 3.11742861986199 2.97519327832783 3.20761342574257 3.28733402160216 3.04727903090309 2.7636174050405 2.53100494149415 2.30369222882288
"19" 3.10354454245425 3.45573874037404 3.47032460546055 2.43796841084108 3.2001694880488 2.95583264826483 3.26508176657666 2.64915371737174 3.46773408670867 3.74065939993999 2.5702195919592 2.8844400760076 3.19638642724272 2.4471902430243
"20" 2.72941650505051 2.67151021792179 2.99243360066007 3.06904969216922 2.87205136013601 2.59284241724172 3.22861705360536 2.29225427942794 3.4212834030403 2.83470793949395 1.92508386938694 2.70538149614962 2.95315230963096 2.68498143914391
"21" 3.07605600360036 3.06267573907391 3.24315792979298 2.71159544634463 3.08037355075508 3.00428720872087 3.11754142614261 2.69918184218422 2.67874896939694 2.99639856405641 2.26946870987099 2.80265873587359 2.5398336829583 2.51120211521152
"22" 3.08498565256526 3.07878165736574 3.38403382162216 2.79755627062706 3.30315464236424 2.48503719671967 3.19155725742574 2.67383369036904 3.49551677677768 3.05320815751575 2.25009206120612 2.71138840984099 2.69289580018002 2.6397136609661
"23" 2.95031215711571 3.14864816511651 3.20609486848685 2.86631397539754 2.95420362736274 2.60108322732273 2.59937256765677 2.87825879687969 3.19562375787579 3.04485081408141 2.73150904590459 2.6965096069607 3.05504140454045 2.43158765766577
"24" 2.97303282308231 2.93635305830583 3.48805447184718 2.73429359435944 2.9351244230423 2.79173888488849 3.46516055005501 2.31884834083408 3.74754372937294 2.60302857215722 1.66291342734274 2.64058512861286 2.79705812781278 2.76680436543654
